osm_ref,name,kind,municipality,province,latitude,longitude,alternative_names
node/6222934101,Somerset Park,neighbourhood,City of Cape Town,Western Cape,-34.097237,18.853608,
node/220456263,Somerset West,town,City of Cape Town,Western Cape,-34.082220,18.848934,Somerset-Wes
node/6232860645,Somerset West Central,neighbourhood,City of Cape Town,Western Cape,-34.082695,18.848212,
node/262722190,Soneike,suburb,City of Cape Town,Western Cape,-33.916389,18.681111,
node/12752322629,Sonstraal Heights,suburb,City of Cape Town,Western Cape,-33.842945,18.678443,
node/262722197,Southfield,suburb,City of Cape Town,Western Cape,-34.034722,18.483333,
node/262722198,Southfork,suburb,City of Cape Town,Western Cape,-34.138611,18.852222,
node/262722201,Spanish Farm,suburb,City of Cape Town,Western Cape,-34.054444,18.850833,
node/262722204,Square Hill,suburb,City of Cape Town,Western Cape,-34.066389,18.468611,
node/262722209,Steenberg,suburb,City of Cape Town,Western Cape,-34.074722,18.470833,
node/262722211,Stellenberg,suburb,City of Cape Town,Western Cape,-33.867778,18.660000,
node/262722212,Stellenridge,suburb,City of Cape Town,Western Cape,-33.875000,18.658333,
node/262722216,Stikland,suburb,City of Cape Town,Western Cape,-33.892222,18.669167,
node/29385915,Strand,town,City of Cape Town,Western Cape,-34.105560,18.830564,
node/262722222,Strand Halt,suburb,City of Cape Town,Western Cape,-34.098576,18.838701,
node/6222757184,Strand Industria,neighbourhood,City of Cape Town,Western Cape,-34.100649,18.845582,
node/6222857072,Strandvale,neighbourhood,City of Cape Town,Western Cape,-34.096927,18.837032,
node/6298777414,Stratford Green,neighbourhood,City of Cape Town,Western Cape,-34.021222,18.738741,
node/6232872530,Stuart's Hill,neighbourhood,City of Cape Town,Western Cape,-34.077168,18.848169,
node/242740941,Summer Greens,suburb,City of Cape Town,Western Cape,-33.878611,18.527778,
node/6206052342,Sun City,neighbourhood,City of Cape Town,Western Cape,-34.121123,18.910144,
node/262722236,Sunbird Park,suburb,City of Cape Town,Western Cape,-33.966667,18.683333,
node/9172273622,Sunningdale,suburb,City of Cape Town,Western Cape,-33.809511,18.488746,
node/54796390,Sunnydale,suburb,City of Cape Town,Western Cape,-34.130556,18.388056,
node/262722241,Sunnyside,suburb,City of Cape Town,Western Cape,-33.969167,18.516111,
node/262722242,Sunridge,suburb,City of Cape Town,Western Cape,-33.825833,18.511667,
node/252201176,Sunset Beach,suburb,City of Cape Town,Western Cape,-33.853746,18.491476,
node/267044812,Sunset Links,suburb,City of Cape Town,Western Cape,-33.864840,18.491268,
node/262722245,Surrey Estate,suburb,City of Cape Town,Western Cape,-33.976389,18.545833,
node/262722249,Sweet Valley,suburb,City of Cape Town,Western Cape,-34.050278,18.438611,
node/71096000,Sybrandpark,suburb,City of Cape Town,Western Cape,-33.956943,18.499436,Sybrand Park
node/262722251,Table View,suburb,City of Cape Town,Western Cape,-33.823611,18.490278,
node/12192284069,Tafelsig,suburb,City of Cape Town,Western Cape,-34.061590,18.638019,
node/38464218,Tamboerskloof,suburb,City of Cape Town,Western Cape,-33.928333,18.406389,
node/262722252,Tara,suburb,City of Cape Town,Western Cape,-33.836667,18.669444,
node/262722258,Temperance Town,suburb,City of Cape Town,Western Cape,-34.153049,18.883050,
node/262722265,The Boulders,suburb,City of Cape Town,Western Cape,-34.197393,18.451178,
node/13412745973,The Conifers,suburb,City of Cape Town,Western Cape,-33.987691,18.696880,
